"expt_date,04/29/2024 18:49",,,,,,,,,,,,,,,,,,,,
"subj_name,1",,,,,,,,,,,,,,,,,,,,
"sustattn,True",,,,,,,,,,,,,,,,,,,,
"changedetect,True",,,,,,,,,,,,,,,,,,,,
"seed,1714387756",,,,,,,,,,,,,,,,,,,,
"restarting,False",,,,,,,,,,,,,,,,,,,,
"env,other",,,,,,,,,,,,,,,,,,,,
"save_dir,./../subjects/1/data/beh/",,,,,,,,,,,,,,,,,,,,
"debug,False",,,,,,,,,,,,,,,,,,,,
"project_dir,./../",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset,
0,58,10:51:33:950000,6,1,[2 6 1 5 7 8],1,1,1,0.3526506,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,134.5323858,134.8850364,nan,nan
0,59,10:51:35:009000,6,1,[0 8 2 4 1 3],1,1,1,0.264261,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,135.5882158,135.8524768,nan,nan
0,60,10:51:36:064000,6,1,[4 0 3 7 5 8],1,1,1,0.3185712,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,136.6461286,136.9646998,nan,nan
0,61,10:51:37:136000,6,1,[2 3 7 8 6 0],1,1,1,0.3225308,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,137.7036531,138.0261839,nan,nan
0,62,10:51:38:191000,6,0,[4 1 0 5 3 8],0,0,1,0.3510159,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,138.7656094,139.1166253,nan,nan
0,63,10:51:39:246000,6,1,[3 8 6 1 0 7],1,1,1,0.4177333,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,139.8210914,140.2388247,nan,nan
0,64,10:51:40:305000,6,1,[1 6 8 5 7 3],1,1,1,0.3017068,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,140.8772559,141.1789627,nan,nan
0,65,10:51:41:361000,6,1,[0 4 3 6 2 1],1,1,1,0.2952146,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,141.9330325,142.2282471,nan,nan
0,66,10:51:51:769000,6,0,[3 1 6 0 5 8],0,0,1,0.3807635,1,[ 1.  1.  1.  1.  1.  1.],[ 2.  4.  3.  1.  5.  6.],[ 3.  6.  1.  0.  8.  5.],2,[ 2.7035727  5.0283902  4.2329564  1.7592089  6.1899802  7.2912991],8.462099,142.9935547,143.3743182,145.0099924,152.3152399
0,67,10:51:52:818000,6,1,[8 5 3 7 2 6],1,1,1,0.4929989,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,153.3956607,153.8886596,nan,nan
0,68,10:51:53:868000,6,1,[5 8 1 2 0 4],1,1,1,0.2557518,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,154.4510135,154.7067653,nan,nan
0,69,10:51:54:924000,6,1,[7 6 5 4 3 8],1,1,1,0.4304491,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,155.5063329,155.936782,nan,nan
0,70,10:51:55:988000,6,1,[4 3 7 1 6 0],1,1,1,0.3701576,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,156.5618858,156.9320434,nan,nan
0,71,10:52:07:797000,6,0,[6 2 0 7 1 5],0,0,1,0.3741598,1,[ 1.  1.  1.  1.  1.  1.],[ 4.  2.  1.  3.  5.  6.],[ 6.  2.  0.  7.  3.  8.],4,[ 4.1726916  2.2887426  1.4899109  3.2434854  7.7545818  8.6750466],8.462099,157.617551,157.9917108,159.6384974,168.3387918
0,72,10:52:08:853000,6,1,[2 8 7 4 3 1],1,1,1,0.4401516,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,169.4251437,169.8652953,nan,nan
0,73,10:52:09:908000,6,1,[5 3 8 1 0 4],1,1,1,0.350912,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,170.4837754,170.8346874,nan,nan
